Ime,Država,Naziv,Classical ocena,Rapid ocena,Blitz ocena,Leto rojstva,Število iger
" Yhap, Colin ",ANT, ,0,0,0,1977,0
" Zachariah, Everon ",ANT, ,0,0,0,1970,0
" Pichot, Alan ",ARG, GM ,2638,2549,2573,1998,2981
" Mareco, Sandro ",ARG, GM ,2622,2541,2550,1987,2171
" Peralta, Fernando ",ARG, GM ,2596,2585,2569,1979,2280
" Felgaer, Ruben ",ARG, GM ,2572,2534,2493,1981,1567
" Lafuente, Pablo ",ARG, GM ,2550,0,0,1985,935
" Tristan, Leonardo ",ARG, GM ,2545,2529,2461,1989,2006
" Sosa, Tomas ",ARG, GM ,2540,2476,2551,1998,1112
" Krysa, Leandro ",ARG, GM ,2538,2542,2485,1992,1720
" Flores, Diego ",ARG, GM ,2532,2598,2606,1982,2166
" Perez Ponsa, Federico ",ARG, GM ,2532,2586,2592,1993,1989
" Iermito, Sebastian ",ARG, IM ,2528,2429,2444,1993,859
" German, Gustavo ",ARG, ,2515,0,0,1978,153
" Zarnicki, Pablo ",ARG, GM ,2514,2448,2468,1972,1301
" Obregon, Andres Carlos ",ARG, GM ,2506,2502,2564,1986,589
" Lemos, Damian ",ARG, GM ,2479,2504,2501,1990,838
" Acosta, Pablo Ismael ",ARG, IM ,2477,2404,2400,1999,875
" Bitelmajer, Martin ",ARG, IM ,2475,2378,2360,1988,439
" Villanueva, Mario ",ARG, IM ,2470,2423,2386,1984,708
" Spangenberg, Hugo ",ARG, GM ,2469,2387,2449,1975,926
" Alonso, Salvador ",ARG, GM ,2464,2467,2482,1974,1257
" Ricardi, Pablo ",ARG, GM ,2464,2447,2495,1962,1556
" Real De Azua, Ernesto ",ARG, IM ,2449,2406,2476,1985,1418
" Sanchez Almeyra, Jorge ",ARG, IM ,2447,0,0,1968,377
" Goldwaser, Christian ",ARG, IM ,2442,0,0,1989,413
" Panno, Oscar ",ARG, GM ,2438,0,2440,1935,2428
" Servat, Roberto ",ARG, IM ,2436,2426,0,1968,484
" Valerga, Diego ",ARG, GM ,2431,2440,2313,1971,1229
" Needleman, Gaston ",ARG, IM ,2429,0,0,1990,281
" Paveto, Kevin ",ARG, IM ,2427,2390,2446,1992,970
" Bianchi, Guillermo ",ARG, IM ,2425,0,0,1958,181
" German, Pablo ",ARG, ,2425,0,0,1976,93
" Boissonet, Carlos P. ",ARG, IM ,2422,2468,2391,1969,114
" Quinteros, Miguel A. ",ARG, GM ,2422,0,0,1947,1606
" Dos Santos, Ramiro ",ARG, IM ,2420,2413,2363,1975,423
" Perdomo, Leandro ",ARG, IM ,2420,2458,2452,1985,1407
" Minzer, Claudio Javier ",ARG, IM ,2418,2392,2416,1968,818
" Claverie, Raul ",ARG, IM ,2414,2527,2525,1983,547
" Lorenzini, Martin ",ARG, GM ,2414,0,0,1975,556
" Liascovich, Lucas ",ARG, IM ,2411,2379,2470,1984,1172
" Tempone, Marcelo ",ARG, IM ,2409,2379,2443,1962,1342
" Hobaica, Juan Pablo ",ARG, IM ,2402,2383,2355,1974,300
" Manzone, Alessandro ",ARG, FM ,2401,2387,2226,1987,336
" Monier, Raul ",ARG, FM ,2401,0,0,1960,188
" Adla, Diego ",ARG, IM ,2400,2422,2377,1968,1430
" Languidey, Simon Alejandro ",ARG, IM ,2399,2400,2338,1992,362
" Bertona, Fernando ",ARG, ,2397,0,2413,1971,225
" Perez, Maximiliano ",ARG, IM ,2396,2364,2344,1992,1362
" Varela, Gaston ",ARG, FM ,2392,2344,2292,1981,356
" Munoz, Francisco Javier ",ARG, FM ,2389,0,2383,1999,574
" Soppe, Guillermo ",ARG, IM ,2389,2394,2385,1960,1496
" Slipak, Sergio ",ARG, GM ,2388,2375,2311,1965,2113
" Dorin, Mauricio ",ARG, IM ,2387,0,0,1960,247
" Grynszpan, Mariano ",ARG, FM ,2386,2376,0,1968,110
" Brond, Victor ",ARG, ,2385,0,0,1947,181
" Pereyra Arcija, Diego ",ARG, IM ,2385,0,0,1977,281
" Yosifides, Aris ",ARG, ,2385,0,0,1965,34
" Labollita, Martin ",ARG, IM ,2383,2377,2385,1980,498
" Bernat, Miguel ",ARG, IM ,2380,0,0,1957,141
" Gomez Baillo, Jorge H. ",ARG, IM ,2377,2370,2299,1959,745
" Playa, Marcelo ",ARG, IM ,2376,2347,2348,1973,468
" Di Giannantonio, Nino ",ARG, FM ,2375,0,0,1997,390
" Schwanek, Carlos ",ARG, FM ,2375,0,0,1961,131
" Casoy, Gaspar ",ARG, ,2374,0,0,1976,63
" Langier, Daniel ",ARG, IM ,2371,2326,0,1974,301
" Balduzzi, Reynaldo ",ARG, FM ,2370,0,0,1938,34
" Fraschini, Mariano ",ARG, FM ,2370,0,0,1972,256
" Bonaveri, Agustin ",ARG, FM ,2367,0,0,1976,158
" De La Vega, Hector ",ARG, FM ,2365,0,0,1926,173
" German, Sergio ",ARG, ,2365,0,0,1979,85
" Spata, German ",ARG, FM ,2364,0,2238,1987,1049
" Panelo, Marcelo ",ARG, IM ,2363,2285,2291,1973,671
" Darcyl, Tomas ",ARG, IM ,2360,2305,2340,1964,212
" Grinberg, Ricardo ",ARG, FM ,2360,0,0,1948,132
" Fulgenzi, Ernesto ",ARG, FM ,2358,2300,0,1968,230
" Ginzburg, Maximiliano ",ARG, IM ,2357,2382,2345,1976,650
" Sorin, Ariel ",ARG, GM ,2357,2397,2330,1967,1161
" Celis, Gustavo ",ARG, FM ,2356,2353,2314,1975,207
" Roca, Alfredo ",ARG, FM ,2356,2325,0,1957,165
" Debarnot, Roberto ",ARG, IM ,2355,0,0,1947,444
" Markeluk, Sergio ",ARG, FM ,2355,0,0,1956,72
" Salguero, Francisco ",ARG, FM ,2355,2347,0,1972,155
" Villegas, Franco ",ARG, IM ,2355,2225,2244,1998,340
" Dolezal, Cristian ",ARG, IM ,2354,2319,2272,1973,1579
" Rosito, Jorge ",ARG, IM ,2354,2351,0,1970,810
" Orsini, Antonio ",ARG, ,2353,0,0,1985,164
" Villca, Julian ",ARG, IM ,2351,2250,2218,2001,487
" Dubin, Jorge ",ARG, ,2350,0,0,1946,43
" Fiorito, Joaquin ",ARG, FM ,2348,2184,2157,2007,435
" Belmonte, Diego Mariano ",ARG, FM ,2347,2244,2244,1978,293
" Pierrot, Facundo ",ARG, IM ,2346,2390,2324,1975,1305
" Garbarino, Rodolfo ",ARG, IM ,2345,2343,2328,1963,464
" Auciello, Sergio ",ARG, FM ,2343,2340,0,1962,108
" Cid, Marino Alejandro ",ARG, IM ,2340,0,0,1958,199
" Della Morte, German ",ARG, IM ,2339,2410,2364,1989,1132
" Fraile, Jorge ",ARG, FM ,2339,0,0,1949,31
" Mahia, Gustavo ",ARG, IM ,2339,2365,2371,1961,754
" Zamorano, Jorge ",ARG, FM ,2339,2308,2331,1989,154
" Fiorito, Fabian ",ARG, IM ,2338,2348,2368,1969,1719
" Giaccio, Alfredo ",ARG, GM ,2338,2416,2326,1970,1050
" Rodriguez, Jorge Luis ",ARG, FM ,2338,2346,2307,1960,428
" Sola, Ruben ",ARG, FM ,2338,0,0,1971,134
" Campora, Daniel H. ",ARG, GM ,2337,2376,2378,1957,2488
" Poch, Cesar G. ",ARG, FM ,2334,0,0,1946,104
" Cuasnicu, Oscar ",ARG, FM ,2331,0,0,1942,249
" Alpern, Daniel ",ARG, FM ,2330,0,0,1965,10
" Tokman, Ariel ",ARG, FM ,2330,2260,2263,1992,572
" Gaitan, Juan Manuel ",ARG, FM ,2328,2290,2352,1993,541
" Panelo Munoz, Marcelo A. ",ARG, ,2327,0,0,1973,723
" Varacalli, Francisco ",ARG, IM ,2327,2227,2264,2001,327
" Seminara, Juan Pablo ",ARG, ,2326,0,0,1972,214
" Elguezabal Varela, Daniel ",ARG, FM ,2325,0,2310,1958,165
" Mautalen, Juan G. ",ARG, ,2325,0,0,1968,2
" Miranda, Rafael ",ARG, FM ,2324,0,2204,1992,392
" Reides, Marcelo ",ARG, FM ,2323,2288,2223,1968,226
" Arias, Juan Cruz ",ARG, FM ,2320,2300,2243,1996,787
" Casafus, Ruben ",ARG, FM ,2320,2300,0,1958,329
" Hernandez, Ricardo ",ARG, ,2320,0,0,1957,26
" Porro, Fernando ",ARG, ,2320,0,0,1973,11
" Rappa, Damian ",ARG, ,2320,0,0,1970,46
" Robledo, Nestor Daniel ",ARG, FM ,2320,0,0,1976,169
" Ocampo, Raul ",ARG, ,2315,0,0,,164
" Restifa, Hector ",ARG, FM ,2315,0,0,1955,109
" Sumiacher, Carlos ",ARG, FM ,2315,0,0,1949,71
" Trincado, Juan Fernando ",ARG, FM ,2314,0,0,1963,47
" Gomez, Carlos David ",ARG, FM ,2312,2233,2356,1990,361
" Negri, Sergio ",ARG, FM ,2311,0,0,1959,89
" Fell, Sebastian ",ARG, FM ,2310,2217,2210,1989,352
" Varas, Lauro ",ARG, ,2310,0,0,1932,31
" Blit, Jacques ",ARG, IM ,2309,2344,2288,1990,921
" Lujan, Carolina ",ARG, IM ,2309,2310,2260,1985,1253
" Roisman, Fabio ",ARG, ,2309,0,0,1983,105
" Zapata Charles, Santiago ",ARG, FM ,2308,2290,2201,1999,354
" Arregui, Jose Luis ",ARG, ,2305,0,0,1957,78
" Biagi, Eduardo ",ARG, FM ,2304,0,0,1956,174
" Pereyra, Juan ",ARG, ,2304,2244,2275,1986,93
" Di Benedetto, Guillermo ",ARG, FM ,2303,0,0,1984,217
" Mussanti, Diego ",ARG, FM ,2303,2247,2184,1966,650
" Coro, Lucas ",ARG, IM ,2302,2216,2256,2001,465
" Fernandez, Jorge ",ARG, FM ,2301,2247,2285,1959,94
" Mela, Benjamin ",ARG, IM ,2301,2287,2265,1978,305
" Gimenez, Victor ",ARG, ,2300,0,0,1943,35
" Uboldi, Alejandro ",ARG, FM ,2300,2273,0,1968,18
" Duarte, Leonardo ",ARG, IM ,2299,2339,2190,1987,664
" Fiorito, Francisco ",ARG, FM ,2299,2216,2341,2010,344
" Llanos, Guillermo ",ARG, IM ,2296,2236,2225,1961,709
" Macagno, Sergio ",ARG, FM ,2296,2322,2289,1964,56
" Bonatti, Walter ",ARG, ,2295,0,0,1969,80
" Landriel, Mario ",ARG, ,2295,0,2310,1966,141
" Quinteros, Diego ",ARG, ,2295,0,0,1973,22
" Bruno, Alejandro P. ",ARG, ,2294,0,2194,1967,74
" Idigoras, Alejandro ",ARG, ,2294,0,0,1961,69
" Mazziotti Irigoyen, Gabriel ",ARG, FM ,2294,2250,2236,1985,456
" De Dovitiis, Alejo ",ARG, IM ,2293,2328,2292,1970,883
" Gibson, Tomas ",ARG, ,2293,0,0,1985,243
" Mendez, Ernesto ",ARG, IM ,2293,2340,2193,1960,376
" Perez, Daniel ",ARG, FM ,2293,2264,2222,1998,251
" Roman, Facundo ",ARG, ,2292,0,0,1971,134
" Villarreal, Agustin ",ARG, FM ,2292,2163,2174,2004,170
" Abella, Julio C. ",ARG, ,2291,0,0,1971,14
" Kanefsck, Gustavo ",ARG, IM ,2290,0,0,1967,398
" Mydlarz, Marcelo ",ARG, ,2290,0,0,1972,10
" Paglilla, Carlos ",ARG, IM ,2289,0,0,1954,630
" Scarella, Enrique Alejandro ",ARG, IM ,2289,2309,2244,1972,897
" Bazzano, Sebastian ",ARG, CM ,2288,2281,0,1974,59
" Lopez Ortiz, Juan ",ARG, ,2287,2224,2187,1990,174
" De Las Heras, Juan Carlos ",ARG, ,2285,0,0,1940,541
" Szlos, Leonardo ",ARG, ,2285,0,0,1947,18
" Walicki, Diego ",ARG, ,2285,0,0,1967,38
" Altamirano, Benjamin ",ARG, FM ,2284,0,2242,1960,193
" Vidal, Jose Raul ",ARG, FM ,2284,0,0,1965,26
" Filgueira, Hernan ",ARG, IM ,2283,2356,2363,1970,631
" Giudici, Ernesto ",ARG, ,2280,2191,2180,1947,37
" Romero, Marcelo ",ARG, ,2280,0,0,,2
" Sakurai, Leonardo ",ARG, ,2280,0,0,1967,104
" Stefano, Rafael ",ARG, ,2280,0,0,,34
" Francisco Guecamburu, Candela Be ",ARG, WFM ,2279,2091,2299,2006,384
" Mayorga, Nicolas ",ARG, FM ,2278,2304,2205,1992,513
" Petrone, Omar ",ARG, ,2278,0,0,1967,13
" Rissotti, Laureano ",ARG, ,2278,0,0,1983,104
" Antonio, Jorge Carlos ",ARG, FM ,2277,0,2247,1968,559
" Pacheco, Daniel ",ARG, FM ,2277,2249,2279,1968,247
" Adad, Julio ",ARG, ,2275,0,0,1948,1
" Benesko, Andres ",ARG, ,2275,0,0,1970,20
" Link, Hugo E. ",ARG, ,2275,0,0,1953,63
" Raineri, Pablo ",ARG, ,2275,0,0,,21
" Seidler, Aldo E. ",ARG, ,2275,0,0,1954,157
" Gimenez Aguirre, Alejo Ismael ",ARG, IM ,2273,2183,2165,2000,390
" Mangioni, Sebastian ",ARG, ,2273,0,0,1980,10
" Pingas, Blas Mariano ",ARG, FM ,2273,2288,2291,1951,178
" Escobar, Telmo ",ARG, ,2272,0,0,1953,78
" Lobato, Carlos ",ARG, ,2272,0,0,,163
" Luconi, Cristian ",ARG, FM ,2272,2263,0,1978,164
" Quiroga, Facundo ",ARG, IM ,2272,2204,2203,1957,924
" Acosta, Tomas ",ARG, ,2271,0,0,1950,74
" D`Arruda, Ricardo D. ",ARG, FM ,2271,0,0,1959,689
" Iglesias Romero, Jorge ",ARG, ,2271,2251,2250,1974,84
" Lorelli, Carlos ",ARG, ,2271,0,0,1969,32
" Falcon, Benjamin ",ARG, FM ,2270,2170,2176,2002,351
" Lingua, Alejo ",ARG, ,2270,2279,0,1979,47
" Nedilski, Diego ",ARG, FM ,2270,0,0,1975,272
" Robledo, Cristian ",ARG, FM ,2270,2172,2170,1999,225
" Bentancor, Franco ",ARG, ,2268,0,0,1976,142
" Iglesias, Jorge ",ARG, ,2268,2274,2254,1973,292
" Bertorello, Juan ",ARG, FM ,2267,2269,2180,1974,302
" Bruno, Eduardo ",ARG, FM ,2266,0,0,1975,138
" Cejas, Jose ",ARG, FM ,2266,2287,2269,1984,151
" Fernandez, Leonardo ",ARG, ,2266,0,0,1973,62
" Moreda, Lucas ",ARG, FM ,2266,2232,0,1979,361
" Ambrogi, Agustin ",ARG, FM ,2265,2275,2214,1987,220
" Bialolenkier, Paulo ",ARG, FM ,2265,0,0,1971,29
" Fernandez, Ignacio ",ARG, ,2265,0,0,,105
" Benedetti, Julio ",ARG, IM ,2264,2234,2263,1995,640
" Della Morte, Pablo ",ARG, IM ,2263,2207,2139,1982,727
" Perez, Raul ",ARG, ,2262,0,0,1956,47
" Potick, Carlos ",ARG, ,2262,0,0,1955,17
" Converset, Juan Jose ",ARG, FM ,2261,0,2186,1977,424
" Halac, Matias ",ARG, ,2261,2338,0,1975,12
" Pucheta, Ruben ",ARG, ,2260,0,0,1968,16
" Ferro, Ezequiel ",ARG, ,2259,0,0,,105
" Gil, Juan Manuel ",ARG, ,2259,0,0,,59
" Cuevas, Alex ",ARG, FM ,2258,2296,2289,1990,614
" Puyou, Guillermo ",ARG, ,2258,0,0,1960,127
" Sabao, Raimundo ",ARG, ,2258,0,0,1962,25
" Serafino, Dario ",ARG, ,2258,0,0,1961,60
" Cristobal, Manuel ",ARG, FM ,2257,2253,2244,1990,283
" Molina, Pablo Sebastian ",ARG, FM ,2257,2169,2183,1993,293
" Paz, Victor Jorge ",ARG, ,2257,0,0,1944,96
" Corsi Ferrari, Nestor ",ARG, FM ,2256,0,0,1969,59
" Silva, Luca ",ARG, ,2256,2069,2164,2002,329
" Bardiani, Daniel ",ARG, ,2255,0,0,1974,17
" Caceres Recalde, Fernando ",ARG, ,2255,2240,2161,1996,249
" Fabian, Gaston ",ARG, FM ,2255,2341,0,1995,457
" Oro, Luis ",ARG, ,2255,2205,0,1950,193
" Vega, Fabian ",ARG, ,2255,0,0,1970,52
" Perelman, Hernan ",ARG, FM ,2253,2263,2243,1967,360
" Churin, Leonardo ",ARG, FM ,2252,0,2194,1973,85
" Tomeo, Ivan ",ARG, CM ,2252,2211,2133,1992,158
" Paternoste, Ricardo ",ARG, ,2251,2214,2173,1951,44
" Aban, Elbio ",ARG, ,2250,0,0,1973,1
" Bonaldi, Pablo ",ARG, ,2250,0,0,1967,28
" Cwirin, Leandro ",ARG, ,2250,0,0,1969,10
" Wehbe, Ricardo ",ARG, ,2250,0,0,1961,55
" Burgos, Carlos ",ARG, FM ,2249,0,2277,1956,191
" Acosta, Omar ",ARG, ,2248,0,0,,87
" Amura, Claudia ",ARG, WGM ,2248,2254,2239,1970,1023
" Borghi, Humberto ",ARG, FM ,2248,0,0,1955,186
" Capaccioli, Jorge ",ARG, ,2247,0,0,1956,52
" Grushka, Carlos ",ARG, FM ,2247,2222,0,1962,226
" Triunfetti, Claudio ",ARG, CM ,2247,0,2188,1974,92
" Ballicora, Miguel ",ARG, FM ,2245,0,0,1964,37
" Fucek, Claudio ",ARG, FM ,2245,0,0,1980,120
" Shifman, Mariano ",ARG, ,2245,0,0,1969,4
" Tomas Falcon, Jesus ",ARG, ,2245,2145,2145,1999,316
" Hase, Juan Carlos ",ARG, IM ,2244,2244,2230,1948,470
" Mavrich, Demian ",ARG, ,2244,0,2230,1990,97
" Needleman, Alejandro ",ARG, IM ,2244,2310,2230,1965,576
" Schuster, Carlos ",ARG, FM ,2244,0,0,1957,133
" Devcic, Marcos ",ARG, ,2243,2300,2260,1959,111
" Benigni, Daniel ",ARG, CM ,2240,2175,2200,1984,156
" Di Salvo, Yamil ",ARG, ,2240,0,0,1967,6
" Garcia, Raimundo ",ARG, IM ,2240,2357,0,1936,1426
" Green, Daniel P. ",ARG, ,2240,0,0,1953,13
" Suarez, Damian ",ARG, ,2240,0,0,1978,70
" Cianni, Pablo ",ARG, ,2239,0,0,1970,18
" Condino, Gabriel ",ARG, ,2239,0,0,1989,71
" Di Muro, Matias ",ARG, ,2239,0,0,1991,236
" Ferraro, Fabian ",ARG, ,2239,0,0,1980,61
" Gastiaburo, Hernan ",ARG, ,2239,0,0,1982,89
" Lopez, Noberto ",ARG, ,2239,0,0,1950,51
" Ramirez, Emilio ",ARG, FM ,2238,0,0,1954,116
" Roh, Claudio ",ARG, ,2238,0,0,1975,44
" Toniutti, Ezio ",ARG, FM ,2238,2158,2215,1987,458
" Bargad, Abraham ",ARG, ,2237,0,0,1970,40
" Moreno Perez, Tobias Sebastian ",ARG, FM ,2237,2203,2259,2005,207
" Raineri De Luca, Pablo ",ARG, ,2237,0,0,1977,94
" Justo, Damian ",ARG, FM ,2236,0,0,1972,310
" Varela, Daniel ",ARG, ,2236,0,0,1964,119
" Beltramini, Jose Maria ",ARG, ,2235,0,0,1979,24
" Leskovar, Matias ",ARG, FM ,2235,0,0,1979,184
" Lida, Fidel Ernesto ",ARG, ,2235,0,0,1968,34
" Maurino, Lucio ",ARG, ,2235,2203,0,1981,79
" Rodriguez, Adolfo I. ",ARG, ,2235,0,0,1930,107
" Rossetti, Miguel ",ARG, ,2235,0,0,1953,0
" Martinez De Negri, Gonzalo ",ARG, ,2234,2214,2238,1994,321
" Uelf, Maximiliano ",ARG, ,2234,2209,2286,1992,891
" Gil, Ramon ",ARG, ,2233,0,0,1978,42
" Facino, Hector ",ARG, ,2232,0,0,1959,32
" Piscicelli, Daniel Orlando ",ARG, FM ,2232,0,2197,1954,110
" Salaberry, Gustavo ",ARG, ,2232,0,0,1967,55
" Fernandez Murga, Roberto ",ARG, ,2230,0,0,1933,125
" Frydman, Isidoro ",ARG, ,2230,0,0,1936,15
" Najurieta, Enrique ",ARG, ,2230,0,0,1946,1
" Palau, Ignacio ",ARG, ,2229,0,0,1972,50
" Schnaider, Ilan ",ARG, FM ,2229,2131,2224,2011,230
" Jacobo, Pablo ",ARG, ,2228,0,0,1981,42
" Ovejero, Juan Manuel ",ARG, ,2227,2152,2267,1985,76
" Yedlin, Isidoro ",ARG, ,2226,2218,0,1948,27
" Oggier, Cesar ",ARG, ,2225,0,0,1968,13
" Szafranek, Jorge ",ARG, ,2225,0,0,1956,11
" Galindo, Ricardo ",ARG, ,2224,0,0,1961,103
" Gamboa, Juan Pablo ",ARG, CM ,2224,2167,0,1973,61
" Sosa, Martin ",ARG, ,2224,0,0,1982,41
" Alarcon, Gualberto ",ARG, ,2223,2191,0,,28
" Perez Cascella, Julio ",ARG, ,2222,0,0,1940,160
" Mellano, Santiago ",ARG, ,2221,0,0,1968,194
" Agnolin Diaz, Antonio ",ARG, ,2220,0,0,1932,16
" Albores, Pablo ",ARG, ,2220,0,0,1975,36
" Cimer, Emanuel ",ARG, FM ,2220,2120,2120,2001,325
" Fernandez, Horacio ",ARG, ,2220,0,0,1963,2
" Martinez, Alexsandro Javier ",ARG, CM ,2220,0,0,1963,7
" Martinez, Marcos ",ARG, ,2220,0,0,1976,96
" Meza, Hugo ",ARG, FM ,2220,2229,0,1989,292
" Schatzle, Mario ",ARG, ,2220,0,0,1948,34
" Gargiulo, Lucas ",ARG, ,2219,0,0,1981,127
" Gioscio, Martin ",ARG, ,2219,0,0,,9
" Labrunee, Juan Pablo ",ARG, ,2219,0,0,,19
" Morgado, Juan J. ",ARG, FM ,2219,0,0,1947,610
" Panizo, Ernesto ",ARG, ,2219,0,0,1960,26
" Recoulat, Eduardo J. ",ARG, FM ,2219,0,0,1965,288
" Zukerfeld, Andres ",ARG, FM ,2219,0,0,1961,113
" Barrionuevo, Pablo ",ARG, IM ,2218,2291,2250,1983,1287
" Ianovsky, Matias Manuel ",ARG, ,2218,0,0,1987,100
" Maidana, Cristian ",ARG, FM ,2218,0,0,1977,93
" Rodriguez, Laureano Joel ",ARG, ,2218,0,2197,1989,134
" Bianchi, Lucas ",ARG, ,2217,2218,2221,1991,203
" Herrero, Luis Alcides ",ARG, ,2217,0,0,,5
" Sevillano, Daniel ",ARG, ,2217,0,0,1973,42
" Aguilar, Andres ",ARG, FM ,2216,2205,2301,1985,480
" Campos, Maria Jose ",ARG, WFM ,2216,2137,2170,1999,231
" Menendez, Daniel ",ARG, ,2216,0,0,1967,98
" Orozco, Gustavo ",ARG, ,2216,0,0,1971,51
" Bass, Alfredo ",ARG, FM ,2215,0,0,1940,38
" Castillo, Carlos ",ARG, ,2215,2145,2115,1941,44
" Corsi, Ferrari A. ",ARG, ,2215,0,0,,36
" De Kirchmayr, Emilio ",ARG, ,2215,0,0,1930,12
" Demaria, Juan Pablo ",ARG, FM ,2215,0,2275,1973,172
" Di Clerico, Daniel ",ARG, ,2215,0,0,1965,10
" Mavrich, Leandro ",ARG, ,2215,2217,0,1987,142
" Poleschi, Ricardo ",ARG, ,2215,0,0,1956,7
" Quiroga, Sergio ",ARG, ,2215,0,0,1959,73
" Romero, Luis D. ",ARG, ,2215,0,0,1975,31
" Zuriel, Alejandro ",ARG, ,2214,0,0,1982,145
" Catelli, Hernan ",ARG, CM ,2212,2281,2213,1989,144
" Fiora, Emilio ",ARG, ,2212,0,2112,1996,197
" Garcia, Gerardo ",ARG, ,2212,0,0,1954,28
" Pietrafesa, Eduardo ",ARG, ,2212,2112,2112,1979,23
" Del Castillo, Gustavo ",ARG, FM ,2211,0,0,1957,100
" Etcheguia, Tristan ",ARG, ,2211,0,0,1961,44
" Freiria, Adrian ",ARG, ,2211,2196,0,1964,29
" Oro, Faustino ",ARG, CM ,2211,2022,1984,2013,253
" Sampaoli, Cristian ",ARG, ,2211,0,2190,1987,142
" Behar, Eduardo ",ARG, ,2210,0,0,1957,11
" Fernandez, Mauro ",ARG, ,2210,0,0,1979,74
" Malbran, Guillermo ",ARG, IM ,2210,2218,2265,1957,985
" Sanchez, Evaristo H. ",ARG, ,2210,0,0,,1
" Vandenberghe, Alberto ",ARG, ,2210,0,0,1964,4
" Lalanne, Pablo ",ARG, CM ,2208,0,2120,1973,139
" Bernard, Ignacio ",ARG, ,2207,2267,2181,1978,159
" Dejeanne, Francisco ",ARG, ,2206,2207,2172,1965,117
" Funes, Andres ",ARG, ,2205,0,0,1957,8
" Martino, Hugo ",ARG, ,2205,0,0,1945,38
" Massenzano, Gerardo ",ARG, ,2205,0,0,1976,72
" Parnenzini, Pedro ",ARG, ,2205,0,2179,,39
" Piedra, Anibal ",ARG, ,2205,0,0,1961,4
 Lebesohn Lisandro ,ARG, ,2204,0,0,,32
" Martino, Jorge ",ARG, CM ,2204,0,0,1970,112
" Miracca, Juan ",ARG, CM ,2203,2133,0,1971,23
" Ripari, Marcelo ",ARG, FM ,2203,0,0,1976,193
" Pappier, Carlos ",ARG, ,2202,0,0,1961,329
" Redondo, Mariano ",ARG, ,2202,0,0,1977,92
" Ocampos, Ian ",ARG, ,2201,2152,2141,1995,226
" Spector, Sebastian ",ARG, ,2201,2119,2105,1993,130
" Barenbaum, Alejandro ",ARG, ,2200,0,0,1962,2
" Barletta, Diego ",ARG, ,2200,0,0,1973,69
" Deker, Gustavo ",ARG, ,2200,0,0,1974,48
" Marinangeli, Martin ",ARG, ,2200,0,0,1988,181
" Mavrich, Rolando ",ARG, ,2200,0,0,1953,11
" Nardini, Dante ",ARG, ,2200,0,0,1961,14
" Otero Garzon, Gustavo ",ARG, ,2200,0,0,1970,14
" Paredes, Alejandro ",ARG, ,2200,0,0,1973,58
" Sanchez, Fernando ",ARG, FM ,2200,2146,0,1960,183
" Wolberg, Eduardo ",ARG, ,2200,0,0,1956,106
