" Quraishii, Obaidullah ",AFG, , 1443 , 1409 , 1477 , 1969 , 0 
" Hosini, Abdulrahim ",AFG, , 1432 , 1448 , 1479 , 1987 , 0 
 Abdul Razaq Ghazi zadeh ,AFG, , 1431 , 0 , 0 , 1979 , 0 
" Zhakfar, Abdul Saber ",AFG, , 1427 , 0 , 0 , 1979 , 0 
 Amir Ali Mahmoodi ,AFG, , 1373 , 1488 , 1465 , 2003 , 0 
 Mohammad Saeed Sharifi ,AFG, , 1368 , 0 , 0 , 1994 , 0 
 Samsoor M Shoaib ,AFG, , 1348 , 1272 , 0 , 1989 , 0 
 Abidy Ahmad Rashid ,AFG, , 1320 , 0 , 1460 , 1993 , 8 
" Hamrah, Leeda ",AFG, , 1284 , 0 , 0 , 1996 , 0 
 Ghulam Nabi ,AFG, , 1269 , 0 , 0 , 1948 , 0 
 Abdianwall shaker ,AFG, , 1245 , 1396 , 1448 , 2005 , 0 
 Shir Ahmad Wahab Zadah ,AFG, , 1245 , 1372 , 1369 , 1976 , 0 
 Muhebullah Ahmadi ,AFG, , 1227 , 0 , 0 , 1986 , 0 
" Sharfa, Farukh ",AFG, , 1227 , 1213 , 1249 , 1966 , 0 
 Aminullah Nazari ,AFG, , 1218 , 0 , 1178 , 2005 , 0 
" Hikmaty, Wais ",AFG, , 1218 , 0 , 0 , 1979 , 0 
 Waleed Zmarial ,AFG, , 1152 , 0 , 0 , 2005 , 0 
" Yusuf, Abdul Majid ",AFG, , 1137 , 0 , 0 , 1958 , 11 
" Yaqeen, M. Afaaq ",AFG, , 1113 , 0 , 0 , 2002 , 0 
 Arsalan Zmarial ,AFG, , 1063 , 0 , 1239 , 2007 , 0 
 Abdul Ghafoor abdul saboor ,AFG, , 0 , 0 , 0 , 1988 , 0 
 Abdul Qayoum ,AFG, , 0 , 0 , 0 , , 0 
 Abdul Raheem Daud Rahimi ,AFG, , 0 , 0 , 0 , 1976 , 0 
"  Abdul Satar, Moh Aslam ",AFG, , 0 , 0 , 0 , , 43 
" Abdul, Qadeer ",AFG, , 0 , 0 , 0 , 1983 , 0 
 Abdulraziq Alizay ,AFG, , 0 , 0 , 0 , 1971 , 0 
 Abubakar ,AFG, , 0 , 0 , 0 , 2011 , 0 
" Afzaly, Mafkor ",AFG, , 0 , 0 , 0 , , 6 
 Ahmad Baresh Ghafoori ,AFG, , 0 , 0 , 0 , 2007 , 0 
 Ahmad Fawad shafaq ,AFG, , 0 , 0 , 0 , 1985 , 0 
 Ahmad Jamsheed ,AFG, , 0 , 0 , 0 , , 0 
 Ahmad Sohail Mohammadi ,AFG, , 0 , 0 , 0 , 2001 , 0 
 Ahmad Zamir Basher ,AFG, , 0 , 0 , 0 , 1989 , 0 
 Ahmad zia Sekandari ,AFG, , 0 , 0 , 0 , 1982 , 0 
" Ahmad, Wais ",AFG, , 0 , 0 , 0 , 1991 , 36 
 Ahmadi Younes ,AFG, , 0 , 0 , 0 , 1982 , 0 
 Ajmal Mangal ,AFG, , 0 , 0 , 0 , 1975 , 0 
" Akbarzai, Gul aqa ",AFG, , 0 , 0 , 0 , 1961 , 0 
" Almas Zahid, Haji Mohammad ",AFG, , 0 , 0 , 0 , , 0 
" Almas, Shaheen ",AFG, , 0 , 0 , 0 , 1991 , 0 
" Amini, Ahmad Nuweed ",AFG, , 0 , 0 , 0 , 1984 , 0 
" Amini, Ahmad Walid ",AFG, , 0 , 0 , 0 , , 0 
" Anvari, Mohammad Naeim ",AFG, , 0 , 0 , 0 , , 0 
" Anwar Baharestani, Mohammad Hamauoon ",AFG, , 0 , 0 , 0 , 1964 , 0 
 Arab Mohammad Mohammad Qasim ,AFG, , 0 , 0 , 0 , 1991 , 0 
" Asadi, Allah Dad ",AFG, , 0 , 0 , 0 , 1988 , 0 
 Ayoubi Mohammad Nasir ,AFG, , 0 , 0 , 0 , 1989 , 0 
 Azara Ali Riza ,AFG, , 0 , 0 , 0 , 1996 , 0 
 Azimi Nabiullah ,AFG, , 0 , 0 , 0 , 1969 , 0 
 Azimi Sayed Ayatullah ,AFG, , 0 , 0 , 0 , 1997 , 0 
 Backtash Ghani ,AFG, , 0 , 0 , 0 , 2011 , 0 
" Baha, Karim ",AFG, , 0 , 0 , 0 , , 0 
" Baharustani, Fazelullah ",AFG, , 0 , 0 , 0 , 1991 , 0 
 Barbari Mohsen ,AFG, , 0 , 1061 , 0 , 1995 , 0 
 Basher Ahmad Zamir ,AFG, , 0 , 0 , 0 , 1989 , 0 
" Batash, Khairullah ",AFG, , 0 , 0 , 0 , 1976 , 0 
 Daryabi Najibullah ,AFG, , 0 , 0 , 0 , 1995 , 0 
" Dostdar, Naser ",AFG, , 0 , 0 , 0 , 1988 , 0 
" Ekhlas, Masih ",AFG, , 0 , 0 , 0 , 2006 , 0 
 Erfan Rahesh ,AFG, , 0 , 0 , 0 , 2008 , 0 
 Fahim Sharifi ,AFG, , 0 , 0 , 0 , 1994 , 0 
 Fahimullah Ziaee ,AFG, , 0 , 1690 , 0 , 1979 , 0 
" Faiaq, Niaz Mohammad ",AFG, , 0 , 0 , 0 , 1971 , 0 
 Faiz Mohammad ,AFG, , 0 , 0 , 0 , , 0 
" Faqiri, Sayed Abdul Hadi ",AFG, , 0 , 0 , 0 , 1979 , 0 
 Farahi Amanullah ,AFG, , 0 , 0 , 0 , 1974 , 0 
 Farahi Eimal ,AFG, , 0 , 0 , 0 , 1996 , 0 
 Farahmand Ahmad Hamed ,AFG, , 0 , 0 , 0 , 2000 , 0 
" Farahmand, Mohammad akram ",AFG, , 0 , 0 , 0 , 1984 , 0 
" Farooq, Fatrat ",AFG, , 0 , 0 , 0 , 1995 , 0 
 Feraidon Naweed ,AFG, , 0 , 0 , 1046 , 1983 , 0 
" Ghaderi, Parviz ",AFG, , 0 , 0 , 0 , 1975 , 6 
" Ghosi, Mohammad Qasim ",AFG, , 0 , 0 , 0 , , 5 
 Ghulam Ali Malikzad ,AFG, , 0 , 0 , 0 , , 0 
" Habibi, Ahmad Wali ",AFG, , 0 , 0 , 0 , 1995 , 0 
 Habibzad Mohib ,AFG, , 0 , 0 , 0 , 1990 , 0 
" Hafizi, Mirizzatullah ",AFG, , 0 , 0 , 0 , 1947 , 6 
" Haidari, Sayed mehdi ",AFG, , 0 , 0 , 0 , 1989 , 0 
 Hamdard Mohmmad Dawood ,AFG, , 0 , 0 , 0 , 1973 , 0 
 Hamed Azizi ,AFG, , 0 , 0 , 0 , 1977 , 0 
 Hamidi Fardin ,AFG, , 0 , 0 , 0 , 1990 , 0 
" Hanif, Mahmood ",AFG, , 0 , 0 , 0 , , 7 
" Hasanzadeh, Ahmad Sami ",AFG, , 0 , 0 , 0 , ,  0 
" Hasanzadeh, Mohammad Mohsen ",AFG, , 0 , 0 , 0 , , 0 
" Hashimy, Mohammad Fahim ",AFG, , 0 , 0 , 0 , 1980 , 0 
 Hasina Akbar ,AFG, , 0 , 0 , 0 , 2002 , 0 
 Hassibullah Badghisi ,AFG, , 0 , 0 , 0 , 2002 , 0 
" Heydari, Habibollah ",AFG, , 0 , 0 , 0 , , 0 
 Hoshang Qasemi Timor ,AFG, , 0 , 0 , 0 , 1991 , 0 
 Hossaini Reza ,AFG, , 0 , 0 , 0 , 1992 , 0 
" Hossaini, Sayed Hosain ",AFG, , 0 , 0 , 0 , 1990 , 0 
 Hosseini Tahereh ,AFG, , 0 , 0 , 0 , 1987 , 0 
" Hosseni, Raza ",AFG, , 0 , 0 , 0 , 2000 , 8 
 Hussiany Milad Ahmad ,AFG, , 0 , 0 , 0 , 1993 , 0 
 Irfan Badghisi ,AFG, , 0 , 0 , 0 , 2006 , 0 
" Jamsheed, Ahmed ",AFG, , 0 , 0 , 0 , 2000 , 11 
 JUMA KHAN ZABEHULLAH ,AFG, , 0 , 0 , 0 , 1985 , 0 
 Kanishka Fatihyar ,AFG, , 0 , 0 , 1403 , 2001 , 0 
 Karimi Sakhauddin ,AFG, , 0 , 0 , 0 , 1983 , 0 
" Khan, Akbar ",AFG, , 0 , 0 , 0 , 1961 , 0 
 Khavari Agela ,AFG, , 0 , 0 , 0 , 1994 , 0 
 Khorami Besmellah ,AFG, , 0 , 0 , 0 , 1993 , 0 
" Khoshdel, Qambar Ali ",AFG, , 0 , 0 , 0 , , 0 
" Khuja, Ghulam sediq ",AFG, , 0 , 0 , 0 , 1964 , 0 
" Kohi, Armand ",AFG, , 0 , 0 , 0 , 1998 , 77 
" Mahmod, Hanif ",AFG, , 0 , 0 , 0 , , 0 
" Majaz, Abdul Salim ",AFG, , 0 , 0 , 0 , , 0 
" Majrooh, Nadia ",AFG, , 0 , 0 , 0 , 1990 , 0 
 Malikzad Ferdows ,AFG, , 0 , 0 , 0 , 1988 , 0 
 Malikzad Mujtaba ,AFG, , 0 , 0 , 0 , 1991 , 0 
" Manzar gul, Danyal ",AFG, , 0 , 0 , 0 , 2012 , 0 
" Manzar gul, Elyas ",AFG, , 0 , 0 , 0 , 2014 , 0 
 Marwa Hakim ,AFG, , 0 , 0 , 0 , 1999 , 0 
" Mazazi, Zamir ",AFG, , 0 , 0 , 0 , 1993 , 0 
" Milad, Mohammad Ibrahim ",AFG, , 0 , 0 , 0 , 1991 , 0 
" Moafian, Nazar Mohammad ",AFG, , 0 , 0 , 0 , , 0 
" Mohamed , Nemat Alla ",AFG, , 0 , 0 , 0 , , 0 
 Mohammad Edris Jami ,AFG, , 0 , 0 , 0 , 1990 , 0 
 Mohammad Halim Ghafoory ,AFG, , 0 , 0 , 0 , 2003 , 0 
 Mohammad Ibrahim ,AFG, , 0 , 0 , 0 , , 0 
 Mohammad Mehran Mirzahi ,AFG, , 0 , 0 , 0 , 2004 , 0 
 Mohammad Naman ,AFG, , 0 , 0 , 0 , , 10 
 Mohammad Naser Sharifi ,AFG, , 0 , 0 , 0 , 1993 , 0 
" Mohammad Samea, Elyas ",AFG, , 0 , 0 , 1496 , 1994 , 0 
 Mohammad yousuf Muradi ,AFG, , 0 , 0 , 0 , 1998 , 4 
" Mohammad, Aslam Pasyar ",AFG, , 0 , 0 , 0 , , 0 
 Mohammadi Ahmad Jawid ,AFG, , 0 , 0 , 0 , 1985 , 0 
" Dervishi, Erald ",ALB, GM , 2526 , 2537 , 2486 , 1979 , 1023 
" Cela, Altin ",ALB, IM , 2485 , 0 , 0 , 1975 , 349 
" Muco, Fatos ",ALB, IM , 2420 , 0 , 0 , 1949 , 152 
" Pasko, Llambi ",ALB, IM , 2419 , 2344 , 2343 , 1991 , 299 
" Buli, Vangjel ",ALB, IM , 2406 , 0 , 0 , 1962 , 80 
" Ashiku, Franc ",ALB, IM , 2388 , 2319 , 2306 , 1993 , 319 
" Mehmeti, Dritan ",ALB, IM , 2379 , 0 , 0 , 1978 , 282 
" Karkanaqe, Ilir ",ALB, FM , 2374 , 0 , 0 , 1953 , 221 
" Seitaj, Ilir ",ALB, IM , 2337 , 2340 , 2325 , 1957 , 440 
" Qendro, Llambi ",ALB, IM , 2293 , 0 , 0 , 1953 , 533 
" Pustina, Ylvi ",ALB, , 2289 , 0 , 0 , 1935 , 127 
" Boshku, Harallamb ",ALB, FM , 2280 , 2287 , 0 , 1953 , 87 
" Mikeli, Leonard ",ALB, , 2277 , 0 , 0 , 1935 , 11 
" Adhami, Vangjel ",ALB, , 2272 , 0 , 0 , 1948 , 58 
" Sula, Zeqir ",ALB, FM , 2272 , 0 , 2289 , 1949 , 93 
" Veleshnja, Zino ",ALB, FM , 2267 , 2167 , 2167 , 2001 , 144 
" Zadrima, Aldo ",ALB, , 2255 , 0 , 0 , 1948 , 87 
" Petritaj, Fotjon ",ALB, , 2244 , 2266 , 2254 , 1982 , 64 
" Gurakuqi, Anton ",ALB, , 2230 , 0 , 0 , 1971 , 9 
" Kolani, Leonard ",ALB, CM , 2213 , 0 , 0 , 1958 , 133 
" Noka, Gezim ",ALB, , 2205 , 0 , 2217 , 1985 , 14 
" Manaj, Klement ",ALB, , 2198 , 0 , 0 , , 27 
" Bregu, Riza ",ALB, , 2195 , 2095 , 2095 , 1991 , 25 
" Cela, Shkelqim ",ALB, FM , 2190 , 0 , 0 , 1956 , 100 
" Mico, Timoleo ",ALB, , 2187 , 0 , 0 , 1998 , 40 
" Pellumbi, Hysni ",ALB, , 2182 , 0 , 0 , , 6 
" Petritaj, Ferdinando ",ALB, , 2178 , 2204 , 2162 , 1963 , 38 
" Kabo, Melsed ",ALB, , 2156 , 2092 , 2164 , 1982 , 1 
" Cucka, Agim ",ALB, , 2143 , 0 , 0 , , 75 
" Sullolari, Saip ",ALB, , 2135 , 0 , 0 , 1957 , 14 
" Vata, Oltion ",ALB, , 2127 , 2164 , 2027 , 1995 , 75 
" Rama, Lorenc ",ALB, FM , 2125 , 2145 , 0 , 1964 , 254 
" Draci, Robert ",ALB, , 2122 , 0 , 2109 , 1962 , 213 
" Paci, Aleksander ",ALB, CM , 2107 , 0 , 0 , 1958 , 23 
" Shabanaj, Saimir ",ALB, , 2105 , 2097 , 2091 , 1986 , 64 
" Tavasja, Elvis ",ALB, , 2087 , 2071 , 0 , 1986 , 20 
" Tare, M. ",ALB, , 2085 , 0 , 0 , , 32 
" Guxho, Clirim ",ALB, , 2079 , 2064 , 2038 , 1969 , 34 
" Shpati, Ted ",ALB, , 2078 , 1978 , 2083 , 1999 , 64 
" Pustina, Adrian ",ALB, , 2077 , 2053 , 0 , 1963 , 20 
" Bajraktari, Hajredin ",ALB, , 2070 , 0 , 0 , 1951 , 20 
" Vuji, Albana ",ALB, , 2070 , 0 , 0 , 1969 , 25 
" Budakova, Taulant ",ALB, , 2060 , 2035 , 2101 , 1988 , 11 
" Sinojmeri, Agim ",ALB, , 2059 , 0 , 0 , 1960 , 2 
" Azemi, Flamur ",ALB, , 2058 , 0 , 0 , 1965 , 11 
" Tuzi, Bruna ",ALB, WFM , 2053 , 1953 , 1953 , 1995 , 221 
" Babamusta, Elton ",ALB, , 2052 , 0 , 2092 , 1980 , 3 
" Xhembulla, Aleksander ",ALB, , 2047 , 1947 , 1947 , 2006 , 70 
" Zarkaj, Artur ",ALB, , 2043 , 0 , 0 , 1961 , 21 
" Veizaj, Mendim ",ALB, , 2030 , 0 , 0 , 1935 , 30 
" Didi, Toni ",ALB, , 2023 , 0 , 1983 , 1995 , 0 
" Harusha, Erjon ",ALB, , 2018 , 2010 , 1918 , 1994 , 8 
" Koroveshi, Klement ",ALB, , 2018 , 0 , 0 , 1949 , 2 
" Bezhani, Ferdinand ",ALB, , 2014 , 0 , 2047 , 1950 , 1 
" Alimadhi, Ilir ",ALB, , 2006 , 0 , 0 , 1982 , 1 
" Mihasi, Lime ",ALB, , 2006 , 2029 , 2003 , 1967 , 68 
" Zekaj, Dritan ",ALB, , 2006 , 0 , 2045 , 1979 , 33 
" Balla, Fjodor ",ALB, , 2005 , 0 , 0 , 1984 , 19 
" Bejleri, Medi ",ALB, , 1999 , 0 , 0 , 1945 , 2 
" Braushi, Estref ",ALB, , 1999 , 0 , 0 , , 12 
" Preza, Agim ",ALB, , 1999 , 0 , 0 , 1954 , 11 
" Gripshi, Bedri ",ALB, , 1997 , 1969 , 0 , 1953 , 0 
" Mejdini, Murat ",ALB, , 1991 , 0 , 0 , 1958 , 51 
" Mihali, Gjergji ",ALB, , 1990 , 0 , 0 , 1959 , 0 
" Pasku, Sotir ",ALB, , 1989 , 1985 , 2065 , 1955 , 40 
" Sula, Avni ",ALB, , 1989 , 0 , 0 , 1960 , 14 
" Prifti, Viktor ",ALB, , 1981 , 0 , 0 , 1954 , 12 
" Giankoula, Romeo ",ALB, , 1980 , 0 , 0 , 1948 , 4 
" Veleshnja, Ajet ",ALB, , 1978 , 1963 , 1919 , 1957 , 28 
" Meta, Bimi ",ALB, , 1977 , 2017 , 1922 , 1965 , 36 
" Disha, Beshim ",ALB, , 1976 , 2015 , 1963 , 1965 , 72 
" Gjomemo, Enton ",ALB, , 1976 , 0 , 0 , 1970 , 7 
" Ramaj, Ergit ",ALB, , 1976 , 1876 , 0 , 2008 , 117 
" Dhame, Petraq ",ALB, , 1970 , 0 , 0 , 1987 , 40 
" Saliasi, Aurel ",ALB, , 1961 , 1886 , 0 , , 0 
" Cika, Agron ",ALB, , 1959 , 0 , 0 , 1955 , 4 
" Shuqja, Klean ",ALB, WFM , 1958 , 1858 , 1893 , 2006 , 301 
" Elezi, Xhezair ",ALB, , 1957 , 1857 , 0 , 1969 , 0 
" Gjergji, Rozana ",ALB, WFM , 1956 , 1928 , 1939 , 1975 , 269 
" Dardha, Eduard ",ALB, , 1950 , 1850 , 1850 , 1972 , 0 
" Beliu, Luli ",ALB, , 1946 , 0 , 0 , 1960 , 1 
" Kallari, Emiljano ",ALB, , 1944 , 1983 , 1967 , 1993 , 7 
" Sherifaj, Lorenc ",ALB, , 1944 , 0 , 0 , 1982 , 0 
" Karralliu, Fuat ",ALB, , 1943 , 0 , 0 , 1958 , 20 
" Shabanaj, Eglantina ",ALB, WCM , 1943 , 2032 , 1934 , 1979 , 265 
" Kaci, Zamir ",ALB, , 1940 , 1868 , 1969 , 1989 , 6 
" Caushaj, Luan ",ALB, , 1936 , 0 , 0 , 1965 , 0 
" Kola, Elvis ",ALB, , 1933 , 2014 , 0 , 1984 , 11 
" Tafa, Ezel ",ALB, , 1930 , 1870 , 1830 , 1975 , 0 
" Frasheri, Petrit ",ALB, , 1928 , 0 , 0 , 1952 , 14 
" Masha, Rexhep ",ALB, , 1923 , 1840 , 1893 , 1966 , 6 
" Mihasi, Erald ",ALB, , 1909 , 1991 , 1956 , 1992 , 58 
" Vocaj, Agim ",ALB, , 1908 , 1928 , 0 , 1966 , 0 
" Mashi, Isa ",ALB, , 1907 , 0 , 1897 , 1966 , 0 
" Pasku, Roela ",ALB, WFM , 1907 , 0 , 0 , 1990 , 113 
 Katana Vladimir ,ALB, , 1904 , 1946 , 1842 , 1961 , 0 
" Fetahu, Skender ",ALB, , 1903 , 0 , 0 , 1971 , 7 
" Qorrolli, Ridvan ",ALB, , 1901 , 0 , 0 , 1976 , 1 
" Bunjaku, Rijard ",ALB, , 1898 , 0 , 0 , 1979 , 0 
" Giomemo, Enton ",ALB, , 1897 , 1874 , 1879 , 1970 , 4 
" Zeneli, Klendi ",ALB, , 1897 , 1797 , 1797 , 2004 , 18 
" Driza, Arta ",ALB, WCM , 1896 , 0 , 0 , 1968 , 57 
" Kurmekaj, Jetmir ",ALB, , 1893 , 1961 , 1912 , 1980 , 0 
" Arapi, Agron ",ALB, , 1887 , 0 , 1787 , 1973 , 0 
" Bedalli, Erind ",ALB, , 1886 , 0 , 1906 , 1983 , 2 
" Gjonaj, Jurgen ",ALB, , 1881 , 1822 , 1869 , 1996 , 16 
" Telegrafi, Adi ",ALB, , 1881 , 1781 , 0 , 1979 , 1 
" Ceka, Shpetim ",ALB, , 1880 , 1884 , 1893 , 1967 , 16 
" Hoxha, Altin ",ALB, , 1880 , 0 , 0 , 1973 , 16 
" Bajraktari, Tahir ",ALB, , 1877 , 1902 , 0 , 1949 , 1 
" Bekurti, Mehmet ",ALB, , 1877 , 0 , 1935 , 1956 , 9 
" Disha, Besim ",ALB, , 1876 , 1858 , 0 , 1965 , 14 
" Gjeli, Neshat ",ALB, , 1875 , 0 , 0 , 1956 , 0 
" Katana, Vladimir ",ALB, , 1874 , 0 , 0 , 1961 , 0 
" Janaqi, Gentian ",ALB, , 1873 , 0 , 0 , 1978 , 0 
" Ndreu, Donald ",ALB, , 1871 , 0 , 0 , 1998 , 22 
" Haxhiaj, Etehem ",ALB, , 1870 , 0 , 0 , 1967 , 0 
" Hyra, Holgerson ",ALB, , 1870 , 0 , 0 , 1990 , 0 
" Stavri, Gligor ",ALB, , 1867 , 0 , 0 , 1956 , 0 
" Shkurta, Xhulio ",ALB, , 1860 , 1951 , 1991 , 1998 , 18 
" Tani, Florian ",ALB, , 1853 , 0 , 0 , 1990 , 0 
" Leka, Bernard ",ALB, , 1844 , 1841 , 0 , 1951 , 0 
" Shabanaj, Alda ",ALB, WFM , 1844 , 0 , 0 , 1983 , 182 
" Beqiri, Ferdinand ",ALB, , 1843 , 0 , 0 , 1966 , 17 
" Haxhia, Ethem ",ALB, , 1840 , 0 , 0 , 1948 , 0 
" Grori, Dorian ",ALB, , 1837 , 0 , 0 , 1985 , 1 
" Kaja, Estref ",ALB, , 1834 , 1806 , 1864 , 1965 , 1 
" Limanaj, Osman ",ALB, , 1834 , 0 , 0 , 1935 , 1 
" Gjergaj, Arben ",ALB, , 1830 , 0 , 0 , , 0 
" Ramaj, Perparim ",ALB, , 1829 , 0 , 0 , 1955 , 0 
" Zotaj, Pellumb ",ALB, , 1815 , 0 , 0 , 1959 , 0 
" Caushaj, Kastriot ",ALB, , 1808 , 0 , 0 , 1953 , 51 
" Kokoneshi, Sokol ",ALB, , 1806 , 0 , 0 , 1976 , 0 
" Xhakoni, Hamza ",ALB, , 1805 , 1780 , 0 , 1957 , 0 
" Skuqi, Uran ",ALB, , 1804 , 0 , 0 , 1941 , 0 
" Cani, Armando ",ALB, , 1803 , 1712 , 0 , 1974 , 41 
" Zhupa, Ilir ",ALB, , 1797 , 1856 , 1772 , 1981 , 0 
" Bezhani, Edlir ",ALB, , 1791 , 1797 , 0 , 1977 , 0 
" Bushi, Edmond ",ALB, , 1790 , 1803 , 0 , 1956 , 3 
" Xhilaga, Vladimir ",ALB, , 1789 , 0 , 0 , 1982 , 0 
" Grabova, Ervin ",ALB, , 1786 , 1686 , 1719 , 1982 , 0 
" Salihaj, Ferit ",ALB, , 1786 , 1710 , 1725 , 1962 , 6 
" Lala, Hajri ",ALB, , 1784 , 1684 , 0 , 1959 , 0 
